,ArUcoTag#47,ArUcoTag#37,ArUcoTag#4,ArUcoTag#61,ArUcoTag#11,ArUcoTag#44,ArUcoTag#22,ArUcoTag#50,ArUcoTag#2,ArUcoTag#3,ArUcoTag#55,ArUcoTag#14,ArUcoTag#17,ArUcoTag#21,ArUcoTag#16,ArUcoTag#54,ArUcoTag#59,ArUcoTag#15,ArUcoTag#45,ArUcoTag#48,ArUcoTag#31,ArUcoTag#35,ArUcoTag#41,ArUcoTag#51,ArUcoTag#52,ArUcoTag#18,ArUcoTag#43,ArUcoTag#29,ArUcoTag#58,ArUcoTag#26,ArUcoTag#5,ArUcoTag#56,ArUcoTag#60,ArUcoTag#19,ArUcoTag#36,ArUcoTag#42,ArUcoTag#24,ArUcoTag#49,ArUcoTag#13,ArUcoTag#32,ArUcoTag#6,ArUcoTag#38,ArUcoTag#46,ArUcoTag#20,ArUcoTag#10,ArUcoTag#53,ArUcoTag#8,ArUcoTag#27,ArUcoTag#23,ArUcoTag#39,ArUcoTag#57
ArUcoTag#52,5147.0,4265.0,3999.0,4163.0,5394.0,5827.0,4254.0,4656.0,3140.0,2793.0,3827.0,3471.0,2771.0,4053.0,5217.0,4953.0,6019.0,3855.0,4564.0,5644.0,5123.0,5459.0,3950.0,3949.0,0.0,5384.0,4110.0,5024.0,4292.0,4795.0,4074.0,5031.0,4075.0,3333.0,4810.0,4210.0,5802.0,3346.0,5261.0,3661.0,4814.0,4148.0,4616.0,4911.0,5929.0,5674.0,4909.0,5179.0,4158.0,4414.0,4956.0
ArUcoTag#18,3923.0,4934.0,4400.0,6085.0,5997.0,7485.0,4403.0,5801.0,2903.0,2790.0,3592.0,4309.0,3159.0,2559.0,6152.0,4064.0,6425.0,4883.0,5322.0,4942.0,4808.0,4282.0,3524.0,3957.0,5384.0,0.0,3961.0,5992.0,6897.0,5355.0,5651.0,5063.0,5027.0,3500.0,5852.0,4930.0,5997.0,3563.0,6140.0,6607.0,4780.0,5666.0,5473.0,5951.0,6095.0,4655.0,6219.0,5968.0,5228.0,6730.0,6169.0
ArUcoTag#43,6370.0,5095.0,5013.0,5474.0,6384.0,6778.0,4409.0,6133.0,3231.0,2495.0,4119.0,5892.0,4021.0,4400.0,7396.0,5328.0,5406.0,5123.0,5397.0,6429.0,4980.0,6130.0,4189.0,4989.0,4110.0,3961.0,0.0,5254.0,6454.0,5607.0,5868.0,4681.0,5064.0,4173.0,6511.0,4395.0,5330.0,3538.0,5437.0,4004.0,5309.0,5314.0,5469.0,5695.0,5553.0,5206.0,6343.0,5807.0,5607.0,7140.0,7317.0
ArUcoTag#29,5940.0,6922.0,8065.0,9640.0,9187.0,9858.0,9753.0,11593.0,2024.0,4561.0,3342.0,4171.0,4292.0,3050.0,6070.0,7052.0,5983.0,5345.0,5846.0,5583.0,6416.0,5728.0,4367.0,4845.0,5024.0,5992.0,5254.0,0.0,28610.0,24623.0,22663.0,15681.0,19121.0,22968.0,21155.0,24246.0,19337.0,18870.0,13928.0,12806.0,18256.0,16723.0,13063.0,22362.0,18551.0,22335.0,16567.0,34498.0,38107.0,23269.0,25735.0
ArUcoTag#58,18096.0,7350.0,9054.0,9232.0,10698.0,10175.0,10673.0,9819.0,2191.0,4784.0,4049.0,4771.0,4732.0,3966.0,6763.0,7856.0,6353.0,6491.0,4949.0,5990.0,5489.0,5630.0,5755.0,5599.0,4292.0,6897.0,6454.0,28610.0,0.0,22080.0,17030.0,14606.0,14963.0,26360.0,18101.0,23594.0,21101.0,18466.0,11206.0,17524.0,16004.0,13103.0,11653.0,19088.0,15260.0,15197.0,14947.0,38448.0,41731.0,21467.0,26294.0
ArUcoTag#26,5415.0,6666.0,8143.0,8811.0,9072.0,10782.0,10146.0,8513.0,2419.0,2329.0,3524.0,4171.0,3467.0,2879.0,20491.0,6541.0,5569.0,5855.0,7877.0,4289.0,8015.0,4692.0,5076.0,6187.0,4795.0,5355.0,5607.0,24623.0,22080.0,0.0,17652.0,16026.0,17656.0,14659.0,19271.0,17302.0,17403.0,16123.0,16548.0,14331.0,12582.0,12915.0,11215.0,14464.0,14611.0,15936.0,15053.0,20169.0,26465.0,24861.0,20501.0
ArUcoTag#5,4739.0,7183.0,8906.0,6530.0,9820.0,9896.0,9476.0,8087.0,3040.0,3860.0,4514.0,4176.0,3946.0,3863.0,6252.0,9179.0,5280.0,5838.0,4849.0,6286.0,6963.0,6351.0,4938.0,4831.0,4074.0,5651.0,5868.0,22663.0,17030.0,17652.0,0.0,15465.0,15872.0,18945.0,15902.0,17688.0,17545.0,17014.0,17577.0,11912.0,11200.0,11366.0,13209.0,12754.0,15911.0,14771.0,15461.0,17741.0,17985.0,18337.0,16742.0
ArUcoTag#56,6037.0,8423.0,8329.0,6872.0,8102.0,8560.0,9922.0,9241.0,3590.0,2981.0,3173.0,4250.0,2911.0,2979.0,5890.0,8280.0,7056.0,6571.0,5273.0,6475.0,5469.0,5644.0,3955.0,5422.0,5031.0,5063.0,4681.0,15681.0,14606.0,16026.0,15465.0,0.0,13947.0,13668.0,22223.0,14913.0,16278.0,16452.0,15952.0,15741.0,8546.0,11119.0,11957.0,9755.0,13843.0,12337.0,11395.0,14107.0,12979.0,21290.0,20463.0
ArUcoTag#60,6442.0,6570.0,9321.0,6797.0,8031.0,8536.0,7689.0,7606.0,2885.0,2559.0,2936.0,2992.0,3485.0,3051.0,6264.0,6384.0,5486.0,4345.0,4954.0,4263.0,4358.0,4361.0,4386.0,4973.0,4075.0,5027.0,5064.0,19121.0,14963.0,17656.0,15872.0,13947.0,0.0,15194.0,14841.0,12435.0,15107.0,15074.0,16110.0,9153.0,8510.0,9537.0,10591.0,9324.0,11679.0,10379.0,15519.0,11885.0,16993.0,25396.0,17099.0
ArUcoTag#19,3979.0,4501.0,6242.0,6251.0,6280.0,8350.0,6547.0,6067.0,1917.0,3102.0,2437.0,2834.0,3046.0,1978.0,4107.0,4332.0,3975.0,3238.0,3669.0,2912.0,3427.0,2890.0,2825.0,3372.0,3333.0,3500.0,4173.0,22968.0,26360.0,14659.0,18945.0,13668.0,15194.0,0.0,11621.0,16269.0,12281.0,18451.0,14746.0,15618.0,8765.0,8039.0,9276.0,11896.0,11276.0,12285.0,11818.0,16233.0,19935.0,17474.0,17265.0
