,ArUcoTag#52,ArUcoTag#2,ArUcoTag#50,ArUcoTag#59,ArUcoTag#18,ArUcoTag#36,ArUcoTag#20,ArUcoTag#25,ArUcoTag#10,ArUcoTag#19,ArUcoTag#26,ArUcoTag#27,ArUcoTag#12,ArUcoTag#31,ArUcoTag#17,ArUcoTag#21,ArUcoTag#44,ArUcoTag#48,ArUcoTag#23,ArUcoTag#28,ArUcoTag#1,ArUcoTag#38,ArUcoTag#37,ArUcoTag#42,ArUcoTag#11,ArUcoTag#46,ArUcoTag#34,ArUcoTag#60,ArUcoTag#7,ArUcoTag#22,ArUcoTag#58,ArUcoTag#49,ArUcoTag#29,ArUcoTag#47,ArUcoTag#3,ArUcoTag#40,ArUcoTag#43,ArUcoTag#55,ArUcoTag#39,ArUcoTag#54,ArUcoTag#24,ArUcoTag#14,ArUcoTag#53,ArUcoTag#13,ArUcoTag#4,ArUcoTag#8,ArUcoTag#33,ArUcoTag#5,ArUcoTag#6,ArUcoTag#9
ArUcoTag#1,11498.0,1905.0,2155.0,4681.0,3969.0,5547.0,5040.0,3064.0,2842.0,4191.0,3890.0,3727.0,3661.0,4099.0,4306.0,3549.0,3176.0,3268.0,3238.0,3771.0,0.0,4115.0,2388.0,2294.0,2507.0,2520.0,3330.0,2678.0,2877.0,2550.0,3523.0,3527.0,3158.0,3018.0,4842.0,3779.0,3635.0,5147.0,3428.0,4596.0,4540.0,3823.0,3835.0,3590.0,4747.0,3767.0,3267.0,3939.0,3776.0,2884.0
ArUcoTag#38,11377.0,1743.0,735.0,4618.0,4228.0,5527.0,3718.0,4190.0,3511.0,4365.0,3751.0,3874.0,4213.0,3696.0,5336.0,3565.0,1854.0,3170.0,2570.0,3767.0,4115.0,0.0,3638.0,4535.0,2548.0,3372.0,3009.0,3678.0,3911.0,5241.0,3343.0,3340.0,3165.0,3844.0,4035.0,4313.0,3945.0,6224.0,2915.0,3251.0,6114.0,4377.0,3403.0,3586.0,3526.0,5061.0,4063.0,3663.0,2898.0,2951.0
ArUcoTag#37,9276.0,1510.0,412.0,3295.0,3257.0,3507.0,2894.0,4563.0,3788.0,3879.0,3631.0,3229.0,4173.0,2485.0,4074.0,2781.0,2118.0,3318.0,2257.0,2595.0,2388.0,3638.0,0.0,2442.0,1742.0,2251.0,2213.0,2780.0,3089.0,3516.0,4231.0,3796.0,3477.0,3691.0,3367.0,3889.0,5211.0,4646.0,2346.0,2532.0,2893.0,2627.0,3340.0,4083.0,3553.0,5247.0,3290.0,3588.0,3431.0,3640.0
ArUcoTag#42,10639.0,1231.0,653.0,2597.0,4410.0,3443.0,2052.0,4685.0,5519.0,3824.0,3278.0,3184.0,3262.0,2559.0,3388.0,2557.0,1621.0,2564.0,2180.0,2431.0,2294.0,4535.0,2442.0,0.0,1665.0,3050.0,1653.0,2831.0,2423.0,3750.0,4181.0,3898.0,3156.0,3304.0,3180.0,3620.0,4663.0,3512.0,2665.0,2699.0,3191.0,2600.0,2901.0,4093.0,2848.0,3871.0,3694.0,3793.0,3630.0,1888.0
ArUcoTag#11,10164.0,2163.0,3354.0,4905.0,3981.0,3143.0,4615.0,4039.0,9322.0,4162.0,3672.0,4120.0,4051.0,4725.0,4581.0,5898.0,3284.0,3237.0,3988.0,3305.0,2507.0,2548.0,1742.0,1665.0,0.0,2849.0,4296.0,2878.0,3539.0,2473.0,2078.0,2745.0,2598.0,2197.0,2883.0,4379.0,2526.0,3338.0,3897.0,3632.0,4344.0,3587.0,3675.0,2430.0,3193.0,4545.0,3765.0,4297.0,3197.0,3883.0
ArUcoTag#46,9325.0,2692.0,2065.0,3144.0,3775.0,3956.0,4695.0,6583.0,6946.0,4698.0,4757.0,3381.0,4335.0,4967.0,3544.0,4189.0,2846.0,4089.0,3674.0,3724.0,2520.0,3372.0,2251.0,3050.0,2849.0,0.0,3090.0,3578.0,4275.0,3674.0,4776.0,2853.0,3069.0,3871.0,4235.0,3882.0,4236.0,3489.0,4866.0,4298.0,3276.0,3260.0,3677.0,3006.0,4217.0,4817.0,4502.0,4567.0,5302.0,3878.0
ArUcoTag#34,12715.0,2814.0,1788.0,5248.0,5641.0,5092.0,5211.0,4375.0,5318.0,5662.0,5592.0,5452.0,5264.0,6204.0,6218.0,5995.0,4343.0,3869.0,4236.0,4859.0,3330.0,3009.0,2213.0,1653.0,4296.0,3090.0,0.0,3480.0,3679.0,2967.0,3324.0,3743.0,4647.0,3348.0,4956.0,4562.0,4192.0,4581.0,3246.0,4736.0,6663.0,4335.0,4036.0,4153.0,4739.0,5153.0,4628.0,4616.0,3232.0,4327.0
ArUcoTag#60,13432.0,2315.0,1666.0,4080.0,4115.0,3746.0,4979.0,6491.0,3959.0,5223.0,4522.0,4555.0,4221.0,4066.0,4893.0,5887.0,3005.0,3840.0,3888.0,3357.0,2678.0,3678.0,2780.0,2831.0,2878.0,3578.0,3480.0,0.0,4660.0,3308.0,3718.0,3541.0,3899.0,4361.0,4495.0,4847.0,4141.0,4841.0,3346.0,4306.0,4219.0,5942.0,4484.0,4024.0,3557.0,4061.0,3751.0,4701.0,4911.0,4803.0
ArUcoTag#7,13940.0,2561.0,2079.0,3312.0,4980.0,3670.0,4929.0,7056.0,5586.0,4613.0,5375.0,3974.0,4321.0,5309.0,4711.0,7002.0,3878.0,2994.0,3669.0,4584.0,2877.0,3911.0,3089.0,2423.0,3539.0,4275.0,3679.0,4660.0,0.0,3575.0,3776.0,3385.0,4183.0,3313.0,5119.0,4131.0,4732.0,4373.0,3302.0,4197.0,4540.0,5314.0,3746.0,4060.0,5424.0,4237.0,3842.0,4758.0,5662.0,3817.0
ArUcoTag#22,10863.0,2391.0,886.0,3657.0,5155.0,4297.0,5049.0,4010.0,3895.0,4952.0,3617.0,3291.0,5225.0,5555.0,4225.0,4676.0,2801.0,8394.0,3988.0,3332.0,2550.0,5241.0,3516.0,3750.0,2473.0,3674.0,2967.0,3308.0,3575.0,0.0,4927.0,4331.0,3884.0,3257.0,4104.0,4510.0,5585.0,6426.0,3675.0,4297.0,5086.0,3806.0,4106.0,3849.0,4366.0,4698.0,3472.0,5058.0,4929.0,6057.0
ArUcoTag#58,13302.0,1550.0,1265.0,3628.0,5271.0,5677.0,4184.0,5140.0,5620.0,5352.0,4503.0,3444.0,4443.0,4616.0,5576.0,3159.0,2352.0,4241.0,3718.0,3217.0,3523.0,3343.0,4231.0,4181.0,2078.0,4776.0,3324.0,3718.0,3776.0,4927.0,0.0,4585.0,4598.0,4636.0,4118.0,4564.0,6889.0,3935.0,4329.0,3464.0,3543.0,4568.0,4408.0,4529.0,5917.0,4241.0,4567.0,5172.0,4401.0,4840.0
ArUcoTag#49,15764.0,1460.0,1167.0,4820.0,4841.0,5492.0,4667.0,5062.0,4553.0,5211.0,4295.0,3500.0,5002.0,5950.0,5001.0,4503.0,2328.0,4456.0,3673.0,4376.0,3527.0,3340.0,3796.0,3898.0,2745.0,2853.0,3743.0,3541.0,3385.0,4331.0,4585.0,0.0,4491.0,3835.0,4058.0,4348.0,5828.0,5098.0,2905.0,4255.0,4358.0,4077.0,3879.0,4805.0,4275.0,3824.0,4578.0,3690.0,3880.0,4346.0
ArUcoTag#29,13401.0,1736.0,1466.0,4049.0,5318.0,3833.0,5061.0,5191.0,3441.0,4406.0,4281.0,5146.0,4347.0,4827.0,4290.0,4466.0,2683.0,4023.0,3243.0,4577.0,3158.0,3165.0,3477.0,3156.0,2598.0,3069.0,4647.0,3899.0,4183.0,3884.0,4598.0,4491.0,0.0,3019.0,4305.0,4733.0,5976.0,4590.0,3644.0,4247.0,4493.0,4829.0,4272.0,3633.0,5235.0,4513.0,4058.0,3900.0,3727.0,4179.0
ArUcoTag#47,15468.0,1264.0,627.0,3512.0,5198.0,4922.0,4195.0,4339.0,4598.0,4583.0,4419.0,3522.0,3909.0,3256.0,5265.0,3475.0,2004.0,4649.0,3073.0,3918.0,3018.0,3844.0,3691.0,3304.0,2197.0,3871.0,3348.0,4361.0,3313.0,3257.0,4636.0,3835.0,3019.0,0.0,3594.0,4817.0,6078.0,4280.0,2776.0,3605.0,2848.0,4699.0,5258.0,4142.0,3823.0,5963.0,4461.0,4235.0,5825.0,3846.0
ArUcoTag#3,16517.0,2511.0,2284.0,6416.0,6023.0,6025.0,5676.0,5507.0,6166.0,6206.0,6097.0,4994.0,4679.0,4515.0,7067.0,5851.0,3824.0,5691.0,3701.0,4031.0,4842.0,4035.0,3367.0,3180.0,2883.0,4235.0,4956.0,4495.0,5119.0,4104.0,4118.0,4058.0,4305.0,3594.0,0.0,6423.0,5452.0,5236.0,4314.0,6319.0,5963.0,6091.0,5057.0,4308.0,5007.0,6647.0,5921.0,7019.0,5586.0,8336.0
